places,review,review_num
Shanghai Ocean Aquarium,964 reviews,4
UOB,115 reviews,4
Geylang Serai,126 reviews,4
Faber Peak,96 reviews,4
Coney Island Park,80 reviews,4
Danga Bay,402 reviews,3
Orchard Gateway,84 reviews,3.5
The Fullerton Maritime Journey Tour,71 reviews,5
Chek Jawa,147 reviews,4.5
Segway Tours Singapore,37 reviews,4
Singapore Hong San See,15 reviews,4
"The Ritz-Carlton Spa, Singapore",10 reviews,4
Tea Chapter,178 reviews,5
The Thai Spa,138 reviews,5
People of the River,92 reviews,4
Altimate,57 reviews,4.5
Robinsons Raffles City,48 reviews,3.5
Cat Village Houtong,578 reviews,4
The Projector,54 reviews,4.5
Yacht Escape - Mikanna,37 reviews,5
The Bicycle Hut,101 reviews,5
Cakebread Cellars,694 reviews,4.5
Lake Taupo,543 reviews,4.5
Bishan Ang Mo Kio Park,80 reviews,4.5
Coriander Leaf Cooking Classes,52 reviews,5
Cathedral of the Good Shepherd,69 reviews,4.5
Sembawang Hot Spring,46 reviews,4
JoyScoot,47 reviews,4.5
Joo Chiat/Katong,104 reviews,4
Jalan Wong Ah Fook,270 reviews,3.5
Sultan Abu Bakar State Mosque,233 reviews,4
Kalea Spa,447 reviews,4.5
Spa Central Batam (Batam Centre),500 reviews,4.5
My Cozy Room Boutique Spa @ Cairnhill,104 reviews,4.5
Lim Bo Seng Memorial,20 reviews,3.5
Marina Bay Golf Course,102 reviews,4
The Sentosa Bus,358 reviews,4.5
Hatyai Thai Massage,34 reviews,4.5
G-MAX Reverse Bungy,141 reviews,4.5
Paradigm Mall,179 reviews,4
The Library,116 reviews,4.5
Saigon Centre,265 reviews,4
Desaru Coast Adventure Waterpark,167 reviews,4
Emirates Lounge,60 reviews,4.5
The Smith Street Taps,39 reviews,4.5
Orchid Garden & Koi Pond,164 reviews,4.5
Drama Box,151 reviews,5
Afond Boutique Spa,124 reviews,4.5
Woodlands,53 reviews,3.5
Red Dot Design Museum,238 reviews,3.5
HarbourFront Centre,135 reviews,4
Dnata Lounge,237 reviews,3.5
AEON Mall,135 reviews,4
The Other Room,118 reviews,4.5
Library @ Orchard,70 reviews,4.5
Central Fire Station,106 reviews,4
KrisFlyer Gold Lounge,175 reviews,2.5
Jubilee Bridge,80 reviews,4
Anderson Bridge,132 reviews,3.5
Sentosa 4D Adventureland,477 reviews,3.5
Singapore Sports Hub,18 reviews,4
The Crazy Elephant,105 reviews,4
Kuan Yin Thong Hood Cho Temple,182 reviews,4
Marina Square,271 reviews,4
Far East Organization Children's Garden,59 reviews,4.5
Horizon Fast Ferry,67 reviews,3.5
City Hall Building,113 reviews,4
Xoleil Spa Village,53 reviews,5
Watertown Brand Outlet Centre,376 reviews,3.5
Singapore Maxi Cab & Minibus Booking by SGMaxi Pte Ltd,9 reviews,4
CYC Made To Measure: Best Tailor in Singapore,11 reviews,3.5
Native,70 reviews,4.5
Jesse and Son Custom Tailors,192 reviews,5
Lamoist - Layers Batam,161 reviews,4.5
Viet Vision Travel - Day Tours,184 reviews,5
It works by Hama,33 reviews,5
Chingay Parade,25 reviews,4.5
Orchard Tower,112 reviews,3.5
Nirwana Beach Club,192 reviews,4
Lian Shan Shuang Lin Temple,36 reviews,4.5
Imperial Apple Spa,48 reviews,4.5
Jurong East Swimming Complex,122 reviews,4
Riverside Point,42 reviews,4.5
Sentosa Golf Club,80 reviews,4.5
Chan Ngee,36 reviews,5
Changi Sailing Club,34 reviews,4.5
The Nail Social,77 reviews,4.5
Tanjong Pagar,86 reviews,4
Changi Swimming Pool,111 reviews,4.5
Banyan Tree Spa Marina Bay Sands,42 reviews,4.5
Chinese New Year (China Town),90 reviews,4.5
Fo Guang Shan Buddha Museum,"1,203 reviews",4.5
Chateau d'Angers,"2,770 reviews",4.5
Atlas Travelz,102 reviews,4.5
Ruby Dot Trails,51 reviews,5
Lantern,117 reviews,4
Istana,96 reviews,4
Buffalo Tours,49 reviews,4
Pasir Ris Park,130 reviews,4
Urban SPA,42 reviews,4.5
Cool Cats,58 reviews,4.5
Sarkies Bar at The Strand Hotel,197 reviews,4
Southernmost point of Asia,157 reviews,4
Metro Trains,148 reviews,2.5
The NEWater Visitor Centre,39 reviews,4.5
Far East Plaza,128 reviews,3.5
LOST in JB,133 reviews,4.5
Damai Spa,51 reviews,4.5
Great World,157 reviews,4
Civil Defence Heritage Gallery,61 reviews,4
Golden Peacock Travel & Tours,110 reviews,5
CableSki Park,31 reviews,4
Dairy Farm Nature Park,14 reviews,4.5
goScoot,33 reviews,4.5
Royal Park Rajapruek,871 reviews,4.5
NOSHtrekker,42 reviews,5
Lush Spa,63 reviews,4.5
Bintan Lagoon Resort Golf Club,148 reviews,4
Tibet Vista,"1,085 reviews",4.5
Jurong Lake Garden,39 reviews,4.5
Victoria Theatre & Victoria Concert Hall,99 reviews,4
Natureland Liat Towers,142 reviews,5
Sri Krishnan Temple,99 reviews,4
Elgin Bridge,74 reviews,4
Air Force Museum,64 reviews,4
Attica,80 reviews,3.5
OCBC Aquatic Centre,22 reviews,4.5
Singapore Night Festival,31 reviews,4.5
SC Vivocity,96 reviews,4
Church of St. Alphonsus,24 reviews,4.5
Boon Tat St,77 reviews,4
Padang,75 reviews,3.5
Lower Peirce Reservoir Park,34 reviews,4.5
Dialogue in the Dark Singapore,16 reviews,5
Caroline Pang Travel Photography,33 reviews,5
Kenko Reflexology and Fish Spa,66 reviews,4.5
Float At The Bay,17 reviews,4
Chinese Heritage Centre,19 reviews,4.5
The Centrepoint,78 reviews,3.5
Sembawang Park,41 reviews,4
Ode To Art,44 reviews,4.5
Changi City Point,104 reviews,4
Hay Dairies,43 reviews,3.5
Captivate Escape Rooms,101 reviews,4
Causeway Bay,"1,157 reviews",4
Nice Executive Coach,104 reviews,2
Chinese Heritage Museum,103 reviews,4
Secret Food Tours Singapore,70 reviews,5
Wisma Atria Shopping Centre,130 reviews,4
Spiffy Dapper,117 reviews,4
The Village Trishaw Tour,37 reviews,4
Palm Springs Golf & Beach Resort,66 reviews,4
KKKL,38 reviews,2
West Coast Park,86 reviews,4
Jurong Point Shopping Mall,83 reviews,4
Adventures by Asian Detours,141 reviews,4.5
Nex,98 reviews,4
MyTrip Transport Services,32 reviews,4.5
DHC Marina,193 reviews,4
Tanjung Piai National Park,95 reviews,4
313@somerset,258 reviews,4
Ah Seng Durian,38 reviews,4.5
Geylang Serai New Market,104 reviews,4
Bridge of Sighs,355 reviews,4.5
Big Bubble Centre,69 reviews,4.5
Ransack Puzzle Hunt,176 reviews,5
BonAppetour Experience,33 reviews,4.5
The Green Corridor,36 reviews,4
Sabaai Sabaai Thai Massage,72 reviews,4.5
Christmas Wonderland at Gardens By The Bay,100 reviews,3
Little India Arcade,172 reviews,3.5
Chestnut Nature Park,24 reviews,4.5
Taxi2Airport,707 reviews,3.5
Aberdeen Centre,205 reviews,4
The Merry Lion,25 reviews,5
Palm Ave Float Club,25 reviews,4.5
Raffles Place Skyscraper Buildings,78 reviews,4
Indulgence Beauty Centre,57 reviews,5
Silat Road Sikh Temple,18 reviews,4.5
Hologate Singapore,30 reviews,5
Gs-Diving,18 reviews,5
Original Food Tours Singapore,23 reviews,5
River Hongbao,36 reviews,4.5
Pulau Ubin Nature and Kampong Walk,31 reviews,4.5
Victor York-The Boutique By The River,35 reviews,4.5
LM Travel,313 reviews,5
Darioush Winery,442 reviews,4.5
Enchanted Garden,90 reviews,4.5
Westgate Shopping Mall,92 reviews,4
Malayan Railways,76 reviews,3.5
Jem,100 reviews,4
AVA VACATIONS,37 reviews,4.5
Woodlands Waterfront Park,45 reviews,4
China Square Central,57 reviews,4
Tanglin Mall Bazaar,76 reviews,4
Tea Tree Spa,85 reviews,4.5
