name,address,plus_code,category,overall_rating,url,keywords
Toko Aljunied,"91 Arab St, Singapore 199787",8V25+GH Singapore,Boutique,4.4,"https://www.google.com.sg/maps/place/Toko+Aljunied/@1.3013728,103.8566982,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19b0e5555555:0x78fe9c4db60c9a3!8m2!3d1.3014043!4d103.8589226?hl=en",['batik']
Emirates First Class Lounge,Located in: Singapore Changi Airport,9X6R+R3 Singapore,Travel lounge,4.6,"https://www.google.com.sg/maps/place/Emirates+First+%26+Business+Lounge/@1.3621066,103.9880234,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c8a3960af9d:0x1ec8ada0e11863!8m2!3d1.3621066!4d103.9902121?hl=en","['food', 'flight', 'shower']"
Sri Mariamman Temple,"244 South Bridge Rd, Singapore 058793",7RMW+33 Singapore,Hindu temple,4.5,"https://www.google.com.sg/maps/place/Sri+Mariamman+Temple/@1.2826867,103.8429575,17z/data=!3m2!4b1!5s0x31da190ccde0228b:0x4ceddad1f6c3ab22!4m5!3m4!1s0x31da190cd1d428d3:0x154d826b223408ea!8m2!3d1.2826867!4d103.8451462?hl=en","['shoes', 'architecture', 'culture', 'tourists', 'town', 'ceremony', 'bare', 'shorts', 'dress', 'pagoda']"
Indian National Army Monument,1 Esplanade Dr,7VQ3+QF Singapore,Monument,4.7,"https://www.google.com.sg/maps/place/Indian+National+Army+Marker/@1.2894186,103.8515497,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19a7835a5f75:0x9c37a30d1df5adf5!8m2!3d1.2894186!4d103.8537384?hl=en","['history', 'jai']"
Masjid Abdul Gafoor,"41 Dunlop St, Singapore 209369",8V33+QF Singapore,Mosque,4.6,"https://www.google.com.sg/maps/place/Abdul+Gafoor+Mosque/@1.3043772,103.8514999,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19b9a1024091:0xeda3abefb724fcc3!8m2!3d1.3045151!4d103.853797?hl=en","['architecture', 'muslim', 'beautiful', 'renovation', 'historical', 'tourist', 'construction', 'fajr', 'robe', 'shorts']"
Seletar Country Club,"101 Seletar Club Rd, Singapore 798273",CV55+V6 Singapore,Country club,4.2,"https://www.google.com.sg/maps/place/Seletar+Country+Club/@1.4096707,103.8559274,17z/data=!3m1!4b1!4m5!3m4!1s0x31da142fb8c775b5:0x4ec7ac9843c7173!8m2!3d1.4096707!4d103.8581161?hl=en","['dinner', 'restaurant', 'environment', 'renovated', 'course', 'music', 'parking', 'public', 'sunset', 'satay']"
Shanghai Dolly,"3B River Valley Road, #01-01 Clarke Quay, 179021",7RRW+G5 Singapore,Permanently closed,4.3,"https://www.google.com.sg/maps/place/Shanghai+Dolly/@1.2913144,103.8432881,17z/data=!3m2!4b1!5s0x31da19a03c463807:0xb825fcec486a928c!4m5!3m4!1s0x31da19a0305e11af:0x85bfca345eeb86de!8m2!3d1.2913144!4d103.8454768?hl=en",
The Single Cask,"30 Victoria Street Caldwell House, CHIJMES, #01-25, 187996",7VW2+3X Singapore,Cafe,4.8,"https://www.google.com.sg/maps/place/The+Single+Cask/@1.295217,103.8502461,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19a45d09f149:0xca35ea5505d38caa!8m2!3d1.2953985!4d103.8525673?hl=en","['whisky', 'bar', 'flights', 'cocktails', 'knowledge', 'atmosphere', 'price', 'fan', 'bottle', 'tasting']"
Poppy Fabric,"111 Arab St, Singapore 199807",8V25+JF Singapore,Fabric store,4.8,"https://www.google.com.sg/maps/place/Poppy+Fabric/@1.3016207,103.856531,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19b0e63bef23:0xe6c018f75ad5f9f!8m2!3d1.3016274!4d103.8587271?hl=en",[]
Xi Yuan Foot Spa,"Jln Sultan, 87号SGOpposite Textile Centre#01-01 邮政编码: 198993",8V36+5F Singapore,Foot massage parlor,4.1,"https://www.google.com.sg/maps/place/Xi+Yuan+Foot+Spa/@1.3029495,103.8590301,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19b13f8f3eb3:0x6d341221882c6031!8m2!3d1.3029798!4d103.8612642?hl=en","['price', 'experience', 'lady', 'back', 'pain', 'force', 'body', 'skill', 'rest', 'outlet']"
